GICS industry group,ASX Code,Type,30/09/2017,30/09/2016,30/09/2015,30/09/2014
"Food, Beverage & Tobacco",AS1,0,0,0,0,0
Not Applic,AQM,0,0,0,0,0
Not Applic,AQM,0,0,0,0,0
Not Applic,AQM,0,0,0,0,0
Not Applic,AQM,0,0,0,0,0
Not Applic,AQM,0,0,0,0,0
Not Applic,AQM,0,0,0,0,0
Not Applic,AQM,0,0,0,0,0
Not Applic,AQM,0,0,0,0,0
Not Applic,AQM,0,0,0,0,0
Not Applic,AQM,0,0,0,0,0
Not Applic,AQM,0,0,0,0,0
Not Applic,AQM,0,0,0,0,0
Not Applic,AQM,0,0,0,0,0
Not Applic,AQM,0,0,0,0,0
Not Applic,AQM,0,0,0,0,0
Not Applic,AQM,0,0,0,0,0
Not Applic,AQM,0,0,0,0,0
Not Applic,AQM,0,0,0,0,0
Not Applic,AQM,0,0,0,0,0
Not Applic,AQM,0,0,0,0,0
Materials,AON,0,0,0,0,0
Not Applic,AOJ,0,0,0,0,0
Not Applic,AOJ,0,0,0,0,0
Not Applic,AOJ,0,0,0,0,0
Not Applic,AOJ,0,0,0,0,0
Not Applic,AOJ,0,0,0,0,0
Not Applic,AOJ,0,0,0,0,0
Not Applic,AOJ,0,0,0,0,0
Not Applic,AOJ,0,0,0,0,0
Not Applic,AOJ,0,0,0,0,0
Not Applic,AOJ,0,0,0,0,0
Not Applic,AOJ,0,0,0,0,0
Not Applic,AOJ,0,0,0,0,0
Not Applic,AOJ,0,0,0,0,0
Not Applic,AOJ,0,0,0,0,0
Not Applic,AOJ,0,0,0,0,0
Not Applic,AOJ,0,0,0,0,0
Not Applic,AOJ,0,0,0,0,0
Not Applic,AOJ,0,0,0,0,0
Not Applic,AOJ,0,0,0,0,0
Not Applic,AOJ,0,0,0,0,0
Not Applic,AOJ,0,0,0,0,0
Not Applic,AOJ,0,0,0,0,0
Not Applic,AOR,0,0,0,0,0
Not Applic,AOR,0,0,0,0,0
Not Applic,AOR,0,0,0,0,0
Not Applic,AOR,0,0,0,0,0
Not Applic,AOR,0,0,0,0,0
Not Applic,AOR,0,0,0,0,0
Not Applic,AOR,0,0,0,0,0
Not Applic,AOR,0,0,0,0,0
Not Applic,AOR,0,0,0,0,0
Not Applic,AOR,0,0,0,0,0
Not Applic,AOR,0,0,0,0,0
Not Applic,AOR,0,0,0,0,0
Not Applic,AOR,0,0,0,0,0
Not Applic,AOR,0,0,0,0,0
Not Applic,AOR,0,0,0,0,0
Not Applic,AOR,0,0,0,0,0
Not Applic,AOR,0,0,0,0,0
Not Applic,AOR,0,0,0,0,0
Not Applic,AOR,0,0,0,0,0
Not Applic,AOR,0,0,0,0,0
Not Applic,AOR,0,0,0,0,0
Not Applic,AOR,0,0,0,0,0
Not Applic,AOR,0,0,0,0,0
Not Applic,AOR,0,0,0,0,0
Not Applic,AOR,0,0,0,0,0
Not Applic,AOL,0,0,0,0,0
Not Applic,AOL,0,0,0,0,0
Not Applic,AOL,0,0,0,0,0
Not Applic,AOL,0,0,0,0,0
Not Applic,AOL,0,0,0,0,0
Not Applic,AOL,0,0,0,0,0
Not Applic,AOL,0,0,0,0,0
Not Applic,AOL,0,0,0,0,0
Not Applic,AOL,0,0,0,0,0
Not Applic,AOL,0,0,0,0,0
Not Applic,AOL,0,0,0,0,0
Not Applic,AOL,0,0,0,0,0
Not Applic,AOL,0,0,0,0,0
Not Applic,AOL,0,0,0,0,0
Not Applic,AOL,0,0,0,0,0
Not Applic,AOL,0,0,0,0,0
Not Applic,AOL,0,0,0,0,0
Not Applic,AOL,0,0,0,0,0
Not Applic,AOL,0,0,0,0,0
Not Applic,AOL,0,0,0,0,0
Not Applic,AOL,0,0,0,0,0
Not Applic,AOL,0,0,0,0,0
Not Applic,AOL,0,0,0,0,0
Not Applic,AOL,0,0,0,0,0
Not Applic,AOL,0,0,0,0,0
Not Applic,AO2,0,0,0,0,0
Not Applic,AO2,0,0,0,0,0
Not Applic,AO2,0,0,0,0,0
Not Applic,AO2,0,0,0,0,0
Not Applic,AO2,0,0,0,0,0
Not Applic,AO2,0,0,0,0,0
Not Applic,AO2,0,0,0,0,0
Not Applic,AO2,0,0,0,0,0
Not Applic,AO2,0,0,0,0,0
Not Applic,AO2,0,0,0,0,0
Not Applic,AO2,0,0,0,0,0
Not Applic,AO2,0,0,0,0,0
Not Applic,AO2,0,0,0,0,0
Not Applic,AO2,0,0,0,0,0
Not Applic,AO3,0,0,0,0,0
Not Applic,AO3,0,0,0,0,0
Not Applic,AO3,0,0,0,0,0
Not Applic,AO3,0,0,0,0,0
Not Applic,AO3,0,0,0,0,0
Not Applic,AO3,0,0,0,0,0
Not Applic,AO3,0,0,0,0,0
Not Applic,AO3,0,0,0,0,0
Not Applic,AO3,0,0,0,0,0
Not Applic,AO3,0,0,0,0,0
Not Applic,AO3,0,0,0,0,0
Not Applic,AO3,0,0,0,0,0
Software & Services,AD1,0,0,0,0,0
Not Applic,AQH,0,0,0,0,0
Not Applic,AQH,0,0,0,0,0
Not Applic,AQH,0,0,0,0,0
Not Applic,AQH,0,0,0,0,0
Not Applic,AQH,0,0,0,0,0
Not Applic,AQH,0,0,0,0,0
Not Applic,AQH,0,0,0,0,0
Not Applic,AQH,0,0,0,0,0
Not Applic,AQH,0,0,0,0,0
Not Applic,AQH,0,0,0,0,0
Not Applic,AQH,0,0,0,0,0
Not Applic,AQH,0,0,0,0,0
Not Applic,AQH,0,0,0,0,0
Not Applic,AQH,0,0,0,0,0
Not Applic,AQH,0,0,0,0,0
Not Applic,AQH,0,0,0,0,0
Not Applic,AQH,0,0,0,0,0
Not Applic,AQH,0,0,0,0,0
Not Applic,AQH,0,0,0,0,0
Not Applic,AQH,0,0,0,0,0
Not Applic,AQH,0,0,0,0,0
Health Care Equipment & Services,AJJ,0,0,0,0,0
Not Applic,ATB,0,0,0,0,0
Not Applic,ATB,0,0,0,0,0
Not Applic,ATB,0,0,0,0,0
Not Applic,ATB,0,0,0,0,0
Not Applic,ATB,0,0,0,0,0
Not Applic,ATB,0,0,0,0,0
Not Applic,ATB,0,0,0,0,0
Not Applic,ATB,0,0,0,0,0
Not Applic,ATB,0,0,0,0,0
Not Applic,ATB,0,0,0,0,0
Not Applic,ATB,0,0,0,0,0
Not Applic,ATB,0,0,0,0,0
Not Applic,ATB,0,0,0,0,0
Not Applic,ATB,0,0,0,0,0
Not Applic,ATB,0,0,0,0,0
Not Applic,ATB,0,0,0,0,0
Not Applic,ATB,0,0,0,0,0
Not Applic,ATB,0,0,0,0,0
Not Applic,ATB,0,0,0,0,0
Not Applic,ATB,0,0,0,0,0
Not Applic,ATB,0,0,0,0,0
Not Applic,ATB,0,0,0,0,0
Not Applic,ATB,0,0,0,0,0
Not Applic,ATB,0,0,0,0,0
Class Pend,AM3,0,0,0,0,0
Class Pend,AM3,0,0,0,0,0
Class Pend,AM3,0,0,0,0,0
Class Pend,AM3,0,0,0,0,0
Class Pend,AM3,0,0,0,0,0
Class Pend,AM3,0,0,0,0,0
Class Pend,AM3,0,0,0,0,0
Class Pend,AM3,0,0,0,0,0
Class Pend,AM3,0,0,0,0,0
Class Pend,AM3,0,0,0,0,0
Class Pend,AM3,0,0,0,0,0
Class Pend,AM3,0,0,0,0,0
Materials,AOA,0,0,0,0,0
Not Applic,ANV,0,0,0,0,0
Not Applic,ANV,0,0,0,0,0
Not Applic,ANV,0,0,0,0,0
Not Applic,ANV,0,0,0,0,0
Not Applic,ANV,0,0,0,0,0
Not Applic,ANV,0,0,0,0,0
Not Applic,ANV,0,0,0,0,0
Not Applic,ANV,0,0,0,0,0
Not Applic,ANV,0,0,0,0,0
